id,productCode,productName,barcode,sku,category,productLocation,managementLevel,registeredBy,brand,year,season,saleStatus,saleStatusText,supplierCategory,supplierDetail,quantity,lowStockThreshold,stockStatus,stockStatusText,reservedQuantity,damagedQuantity,returningQuantity,inspectionQuantity,availableQuantity,availabilityRate,dailyInboundQty,dailyOutboundQty,costPrice,sellingPrice,currentPrice,optionSalesPrice,totalStockValue,averageUnitPrice,costPerUnit,marginPercentage,costPrice,sellingPrice,currentPrice,optionSalesPrice,totalStockValue,averageUnitPrice,costPerUnit,marginPercentage,productRegistrationDate,lastModifiedDate,productPublishDate,soldOutPredictionDate,poSettingDate,expectedPoDate,hasShippingHistory,isDisplayed,includeUnreceivedQuantity,useStockSync,preventOptionCombination,tags,daysWithoutOrder,lastOrderDate,building,zone,aisle,rack,shelf,bay,level,locationCode,optionSize,optionColor,optionMaterial,quantityByOption,showDetailLocation,showAvailableQty,showDailyInOut,showUnitPrice,showOptionQty,showBarcode,simpleView
11,PROD-00011,숄더백 #11,880000000000011,SKU-00000011,가방,C,낮음,user1,COS,2023,가을,discontinued,단종,가방,공급처-1,450,50,low_stock,적은재고,100,20,50,80,200,44.4,120,180,28000,42000,38000,41800,17100000,38000,28000,26.3,28000,42000,38000,41800,17100000,38000,28000,26.3,2023-08-10T00:00:00Z,2025-11-04T15:15:00Z,2023-08-11T00:00:00Z,2025-11-18T00:00:00Z,2025-09-15T00:00:00Z,2025-11-20T00:00:00Z,false,false,true,false,true,"프리미엄",210,2025-05-10T00:00:00Z,C,02,C3,2,하,3,2,C-02-C3-2-하-2,원사이즈,베이지,가죽,120,false,true,true,true,false,false,true
12,PROD-00012,클러치 #12,880000000000012,SKU-00000012,가방,D,중간,user2,Gucci,2024,겨울,selling,판매중,액세서리,공급처-2,580,50,in_stock,재고충분,120,15,40,50,355,61.2,150,200,32000,48000,44000,48400,25520000,44000,32000,27.3,32000,48000,44000,48400,25520000,44000,32000,27.3,2024-07-08T00:00:00Z,2025-11-06T12:45:00Z,2024-07-09T00:00:00Z,2025-12-15T00:00:00Z,2025-10-12T00:00:00Z,2025-12-10T00:00:00Z,true,true,false,true,false,"고급,할인",55,2025-09-14T00:00:00Z,D,01,D3,4,중,2,1,D-01-D3-4-중-1,원사이즈,검정,가죽,200,true,true,true,true,false,true,false
13,PROD-00013,목걸이 #13,880000000000013,SKU-00000013,액세서리,A,높음,user3,Nike,2024,봄,selling,판매중,액세서리,공급처-3,3200,50,in_stock,재고충분,500,80,150,200,2270,70.9,250,300,8000,14000,12000,13200,38400000,12000,8000,33.3,8000,14000,12000,13200,38400000,12000,8000,33.3,2024-01-25T00:00:00Z,2025-11-07T16:30:00Z,2024-01-26T00:00:00Z,2025-12-20T00:00:00Z,2025-10-18T00:00:00Z,2025-12-18T00:00:00Z,true,true,true,true,true,"신상,인기",10,2025-10-29T00:00:00Z,A,03,A4,6,상,3,2,A-03-A4-6-상-2,원사이즈,금색,합금,900,true,true,false,true,true,false,false
14,PROD-00014,팔찌 #14,880000000000014,SKU-00000014,액세서리,B,중간,admin,Adidas,2024,여름,selling,판매중,액세서리,공급처-4,1500,50,in_stock,재고충분,250,40,80,100,1030,68.7,180,220,6000,11000,10000,11000,15000000,10000,6000,40,6000,11000,10000,11000,15000000,10000,6000,40,2024-04-12T00:00:00Z,2025-11-05T14:00:00Z,2024-04-13T00:00:00Z,2025-12-05T00:00:00Z,2025-09-28T00:00:00Z,2025-11-25T00:00:00Z,true,true,false,true,false,"할인,세일",90,2025-08-10T00:00:00Z,B,02,B4,3,중,2,2,B-02-B4-3-중-2,원사이즈,은색,스테인리스,450,true,true,true,false,false,false,false
15,PROD-00015,반지 #15,880000000000015,SKU-00000015,액세서리,C,낮음,manager,Puma,2023,가을,discontinued,단종,액세서리,공급처-5,680,50,in_stock,재고충분,150,30,60,80,360,52.9,100,150,9000,16000,14000,15400,9520000,14000,9000,35.7,9000,16000,14000,15400,9520000,14000,9000,35.7,2023-10-30T00:00:00Z,2025-11-03T11:20:00Z,2023-10-31T00:00:00Z,2025-11-30T00:00:00Z,2025-10-25T00:00:00Z,2025-11-28T00:00:00Z,false,false,true,false,true,"프리미엄",150,2025-06-10T00:00:00Z,C,01,C4,4,하,1,3,C-01-C4-4-하-3,원사이즈,금색,금도금,230,false,true,true,true,false,true,true
16,PROD-00016,모자 #16,880000000000016,SKU-00000016,액세서리,D,중간,user1,Zara,2024,봄,selling,판매중,액세서리,공급처-6,2100,50,in_stock,재고충분,350,50,100,150,1450,69,200,250,7000,13000,11000,12100,23100000,11000,7000,36.4,7000,13000,11000,12100,23100000,11000,7000,36.4,2024-02-28T00:00:00Z,2025-11-07T09:40:00Z,2024-02-29T00:00:00Z,2025-12-15T00:00:00Z,2025-10-08T00:00:00Z,2025-12-08T00:00:00Z,true,true,false,true,false,"신상,할인",70,2025-08-29T00:00:00Z,D,02,D4,5,상,1,2,D-02-D4-5-상-1,원사이즈,검정,면,600,true,true,true,false,true,true,false
17,PROD-00017,기본 티셔츠 #17,880000000000017,SKU-00000017,의류,A,높음,user2,H&M,2024,여름,selling,판매중,의류,공급처-7,4500,50,in_stock,재고충분,700,100,200,250,3250,72.2,600,550,15000,24000,22000,24200,99000000,22000,15000,31.8,15000,24000,22000,24200,99000000,22000,15000,31.8,2024-06-01T00:00:00Z,2025-11-08T13:25:00Z,2024-06-02T00:00:00Z,2025-12-28T00:00:00Z,2025-10-20T00:00:00Z,2025-12-25T00:00:00Z,true,true,true,true,true,"인기,할인",25,2025-10-14T00:00:00Z,A,02,A5,8,중,2,1,A-02-A5-8-중-1,S,흰색,면100%,1200,true,true,false,true,true,false,false
18,PROD-00018,프리미엄 청바지 #18,880000000000018,SKU-00000018,의류,B,중간,user3,UNIQLO,2024,겨울,selling,판매중,의류,공급처-8,1900,50,in_stock,재고충분,300,50,100,150,1300,68.4,350,300,28000,42000,38000,41800,72200000,38000,28000,26.3,28000,42000,38000,41800,72200000,38000,28000,26.3,2024-08-15T00:00:00Z,2025-11-06T10:50:00Z,2024-08-16T00:00:00Z,2025-12-20T00:00:00Z,2025-10-14T00:00:00Z,2025-12-15T00:00:00Z,true,true,false,true,false,"프리미엄,할인",40,2025-09-29T00:00:00Z,B,01,B5,7,상,2,1,B-01-B5-7-상-1,32,검정,데님,500,true,true,true,true,false,true,false
19,PROD-00019,스포츠 팬츠 #19,880000000000019,SKU-00000019,의류,C,낮음,admin,Nike,2024,봄,selling,판매중,의류,공급처-9,2300,50,in_stock,재고충분,350,60,100,150,1640,71.3,280,320,18000,28000,25000,27500,57500000,25000,18000,28,18000,28000,25000,27500,57500000,25000,18000,28,2024-03-20T00:00:00Z,2025-11-07T11:15:00Z,2024-03-21T00:00:00Z,2025-12-10T00:00:00Z,2025-09-22T00:00:00Z,2025-12-05T00:00:00Z,true,true,true,true,true,"신상,할인",35,2025-10-03T00:00:00Z,C,03,C5,6,중,2,2,C-03-C5-6-중-2,M,회색,폴리,750,true,true,false,false,true,true,false
20,PROD-00020,트렌디한 스커트 #20,880000000000020,SKU-00000020,의류,D,중간,manager,Zara,2024,가을,selling,판매중,의류,공급처-10,1400,50,in_stock,재고충분,200,30,70,100,1000,71.4,220,180,22000,35000,32000,35200,44800000,32000,22000,31.3,22000,35000,32000,35200,44800000,32000,22000,31.3,2024-05-10T00:00:00Z,2025-11-05T15:30:00Z,2024-05-11T00:00:00Z,2025-12-12T00:00:00Z,2025-10-01T00:00:00Z,2025-11-30T00:00:00Z,true,true,false,true,false,"트렌디,할인",50,2025-09-19T00:00:00Z,D,04,D5,8,상,1,3,D-04-D5-8-상-3,M,분홍,면혼방,400,true,true,true,true,false,false,false
